-nan -nan
0.946 0.925
0.853 0.881
0.905 0.904
0.906 0.908
0.886 0.896
0.895 0.890
0.902 0.896
0.886 0.897
0.895 0.904
0.891 0.890
0.898 0.898
0.907 0.905
0.891 0.900
0.902 0.897
0.905 0.900
0.868 0.881
0.888 0.877
0.887 0.892
0.891 0.894
0.879 0.879
0.886 0.887
0.894 0.889
0.896 0.893
0.897 0.892
0.875 0.891
0.882 0.873
0.891 0.889
0.887 0.893
0.863 0.864
0.866 0.861
0.856 0.867
0.867 0.864
0.870 0.862
0.858 0.859
0.867 0.863
0.859 0.865
0.854 0.863
0.854 0.850
0.842 0.837
0.854 0.850
0.849 0.855
0.840 0.849
0.848 0.843
0.855 0.851
0.844 0.847
0.847 0.846
0.845 0.842
0.838 0.844
0.832 0.838
0.827 0.828
0.829 0.828
0.823 0.820
0.819 0.816
0.816 0.816
0.820 0.817
0.815 0.816
0.802 0.813
0.812 0.810
0.810 0.808
0.817 0.814
0.821 0.815
0.819 0.824
0.814 0.821
0.812 0.810
0.812 0.809
0.810 0.809
0.803 0.804
0.804 0.799
0.803 0.813
0.805 0.802
0.812 0.811
0.820 0.814
0.804 0.815
0.811 0.811
0.809 0.805
0.814 0.814
0.820 0.817
0.813 0.821
0.824 0.822
0.829 0.824
0.830 0.833
0.844 0.842
0.848 0.849
0.852 0.855
0.863 0.860
0.878 0.876
0.876 0.879
0.882 0.884
0.879 0.882
0.885 0.884
0.886 0.885
0.878 0.875
0.869 0.865
0.860 0.864
0.845 0.851
0.849 0.851
0.853 0.852
0.848 0.839
